pointcloud_copped_69.ply: - mesh: 30 .ply files, mesh_cloud_color_green: 14 .ply files
pointcloud_copped_70.ply: - mesh: 27 .ply files, mesh_cloud_color_green: 15 .ply files
pointcloud_copped_71.ply: - mesh: 28 .ply files, mesh_cloud_color_green: 15 .ply files
pointcloud_copped_72.ply: - mesh: 17 .ply files, mesh_cloud_color_green: 1 .ply files
pointcloud_copped_73.ply: - mesh: 15 .ply files, mesh_cloud_color_green: 1 .ply files
pointcloud_copped_74.ply: - mesh: 15 .ply files, mesh_cloud_color_green: 1 .ply files
pointcloud_copped_75.ply: - mesh: 16 .ply files, mesh_cloud_color_green: 1 .ply files
pointcloud_copped_76.ply: - mesh: 18 .ply files, mesh_cloud_color_green: 0 .ply files
pointcloud_copped_77.ply: - mesh: 16 .ply files, mesh_cloud_color_green: 1 .ply files
pointcloud_copped_78.ply: - mesh: 17 .ply files, mesh_cloud_color_green: 2 .ply files
pointcloud_copped_79.ply: - mesh: 18 .ply files, mesh_cloud_color_green: 2 .ply files
pointcloud_copped_80.ply: - mesh: 19 .ply files, mesh_cloud_color_green: 3 .ply files
pointcloud_copped_81.ply: - mesh: 15 .ply files, mesh_cloud_color_green: 2 .ply files
pointcloud_copped_82.ply: - mesh: 15 .ply files, mesh_cloud_color_green: 3 .ply files
pointcloud_copped_83.ply: - mesh: 18 .ply files, mesh_cloud_color_green: 5 .ply files
pointcloud_copped_84.ply: - mesh: 21 .ply files, mesh_cloud_color_green: 4 .ply files
pointcloud_copped_85.ply: - mesh: 28 .ply files, mesh_cloud_color_green: 15 .ply files
pointcloud_copped_86.ply: - mesh: 22 .ply files, mesh_cloud_color_green: 12 .ply files
pointcloud_copped_87.ply: - mesh: 33 .ply files, mesh_cloud_color_green: 16 .ply files
pointcloud_copped_88.ply: - mesh: 27 .ply files, mesh_cloud_color_green: 11 .ply files
pointcloud_copped_89.ply: - mesh: 22 .ply files, mesh_cloud_color_green: 10 .ply files
pointcloud_copped_90.ply: - mesh: 26 .ply files, mesh_cloud_color_green: 13 .ply files
pointcloud_copped_91.ply: - mesh: 29 .ply files, mesh_cloud_color_green: 13 .ply files
pointcloud_copped_92.ply: - mesh: 25 .ply files, mesh_cloud_color_green: 13 .ply files
pointcloud_copped_93.ply: - mesh: 20 .ply files, mesh_cloud_color_green: 7 .ply files
pointcloud_copped_94.ply: - mesh: 23 .ply files, mesh_cloud_color_green: 10 .ply files
pointcloud_copped_95.ply: - mesh: 28 .ply files, mesh_cloud_color_green: 13 .ply files
pointcloud_copped_96.ply: - mesh: 30 .ply files, mesh_cloud_color_green: 15 .ply files
pointcloud_copped_97.ply: - mesh: 24 .ply files, mesh_cloud_color_green: 14 .ply files
pointcloud_copped_98.ply: - mesh: 38 .ply files, mesh_cloud_color_green: 27 .ply files
pointcloud_copped_99.ply: - mesh: 38 .ply files, mesh_cloud_color_green: 22 .ply files
